,CNN-Accelerator-Based-on-Eyeriss-v2,NeuroSpector,rt,tiny-tpu,Tiny_LeViT_Hardware_Accelerator
CNN-Accelerator-Based-on-Eyeriss-v2,100.0,0.0,0.0,0.0,61.95
NeuroSpector,0.0,0.0,0.0,0.0,0.0
rt,0.0,0.0,0.0,0.0,0.0
tiny-tpu,0.0,0.0,0.0,0.0,0.0
Tiny_LeViT_Hardware_Accelerator,61.95,0.0,0.0,0.0,100.0
